$ts,$id,$x,$y,HWS_RetWtrTemp,HWS_SupWtrTemp,address,battery,boiler1_run,boiler2_run,boiler_selection_mode,cloud_cover,co2_ppm,connected,customer,demo,device_type,door,energy,error,event,external_temperature,floor,hardware_version,home,humidity,hvac_discharge_pressure,insolation,is_demo_device,kW,label,latitude,light,longitude,mode,occupied,power,precipitation_intensity,pump_run,rssi,site,square_metres,switched_on,target_temp_ideal,target_temp_max,target_temp_min,temperature,water_temp,wind_speed,window,zone
1642692430.918763,02-49-e5-da-ec-42, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 80, , , ,True, ,Device 451,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,03-80-7c-e1-f7-3f,2000,1500, , , ,100, , , , , ,True, ,BMS,smoke_alarm, , , ,heartbeat, , ,0.6, , , , ,True, ,Smoke Detector 6,37.386051, ,-122.083855, , , , , ,-85, , , , , , , , , , , 
1642692430.918763,04-04-e0-5c-d1-70, , , , ,"Bickland Water Road, Falmouth, Cornwall, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 2, , , ,True, ,Device 159,50.152019, ,-5.097288,fan, , , ,False, ,Cornwall, , , , , , , , ,closed, 
1642692430.918763,04-19-97-b9-1d-d4, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 146, , , ,True, ,Device 583,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,04-36-c6-32-d5-fd, , , , ,"500-530 Laurier Ave W, Ottawa, ON K1R 5E1 Canada", , , , , , , ,EllisDon,energy in buildings,occupancy, , , , , ,Ground Floor, , , , , ,True, ,Device 96,45.415543, ,-75.705613, ,False, , , , ,QE Towers,1500, , , , , , , , ,Retail
1642692430.918763,04-6c-29-6f-a5-56, , ,64.0,80.0,"Bickland Water Road, Falmouth, Cornwall, UK", , , , , , , , ,affordable_homes,hot_water, , , , , , , ,Home 13, , , ,True, ,Device 182,50.152019, ,-5.097288, , , , , , ,Cornwall, , , , , , ,69.0, , , 
1642692430.918763,04-f1-82-12-01-55,5500,2250, , , ,100, , , , , ,True, ,BMS,smoke_alarm, , , ,heartbeat, , ,1.5, , , , ,True, ,Smoke Detector 12,37.386051, ,-122.083855, , , , , ,-86, , , , , , , , , , , 
1642692430.918763,05-14-c7-fe-34-22, , , , ,"Phoenix Park, Church St, Dunstable, LU5 4HU, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 5, , , ,True, ,Device 254,51.888033, ,-0.513375,fan, , , ,False, ,Dunstable, , , , , , , , ,closed, 
1642692430.918763,06-32-1c-a6-e5-4c, , ,62.0,73.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 11, , , ,True, ,Device 314,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,67.0, , , 
1642692430.918763,06-cc-d8-80-2e-24, , , , ,"Leon House, Croydon, UK", , , , , , , , ,affordable_homes,fire_door,closed, , , , , , , , , , ,True, ,Fire Door 146,51.369297, ,-0.099033, , , , , , ,Leon House, , , , , , , , , , 
1642692430.918763,07-6f-37-a6-4f-0a, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 148, , , ,True, ,Device 587,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,07-d7-4c-8e-9c-58, , , , ,"Bickland Water Road, Falmouth, Cornwall, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 24, , , ,True, ,Device 203,50.152019, ,-5.097288,fan, , , ,False, ,Cornwall, , , , , , , , ,closed, 
1642692430.918763,08-20-44-ac-80-07, , , , ,"Bickland Water Road, Falmouth, Cornwall, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 8, , , ,True, ,Device 171,50.152019, ,-5.097288,fan, , , ,False, ,Cornwall, , , , , , , , ,closed, 
1642692430.918763,08-3b-93-f5-8b-eb, , , , ,"Salt St, Vancouver, BC V5Y 0E4, Canada", , , , , , , ,EllisDon,energy in buildings,occupancy, , , , , ,Ground Floor, , , , , ,True, ,Device 137,49.271475, ,-123.106204, ,False, , , , ,Olympic Village,1900, , , , , , , , ,Retail
1642692430.918763,08-3e-d5-3f-88-e9, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 36, , , ,True, ,Device 363,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,08-7f-1a-e1-ed-97, , ,65.0,77.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 47, , , ,True, ,Device 386,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,71.0, , , 
1642692430.918763,09-38-81-d4-16-ca,3000,2000, , , ,100, , , , , ,True, ,BMS,smoke_alarm, , , ,heartbeat, , ,0.9, , , , ,True, ,Smoke Detector 33,37.386051, ,-122.083855, , , , , ,-75, , , , , , , , , , , 
1642692430.918763,09-74-6a-8a-e2-53, , , , ,"Phoenix Park, Church St, Dunstable, LU5 4HU, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 17, , , ,True, ,Device 278,51.888033, ,-0.513375,fan, , , ,False, ,Dunstable, , , , , , , , ,closed, 
1642692430.918763,09-9c-26-18-6d-c6, , ,62.0,74.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 36, , , ,True, ,Device 364,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,65.0, , , 
1642692430.918763,09-a8-cd-68-f2-71, , ,66.0,78.0,"Bickland Water Road, Falmouth, Cornwall, UK", , , , , , , , ,affordable_homes,hot_water, , , , , , , ,Home 15, , , ,True, ,Device 186,50.152019, ,-5.097288, , , , , , ,Cornwall, , , , , , ,70.0, , , 
1642692430.918763,09-aa-fd-0b-f9-35,832,154, , ,"Upper Canada College, Forest Hill, Toronto, ON M4V 1W6, Canada", , , , , , , ,EllisDon,energy in buildings,occupancy, , , , , ,Ground Floor, , , , , ,True, ,Device 73,43.693309, ,-79.403761, ,False, , , , ,Forest Hill,2000, , , , , , , , ,Admin
1642692430.918763,0a-0f-7a-18-8a-3a, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 104, , , ,True, ,Device 499,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,0a-6e-64-1c-f5-69, , , , ,"Bickland Water Road, Falmouth, Cornwall, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 6, , , ,True, ,Device 167,50.152019, ,-5.097288,fan, , , ,False, ,Cornwall, , , , , , , , ,closed, 
1642692430.918763,0a-86-77-ef-0a-6c, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,2, , , , ,affordable_homes,HVAC, , , , , , , ,Home 11, , , ,True, ,Device 313,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
1642692430.918763,0a-90-62-c3-59-7e,2000,1500, , , ,100, , , , , ,True, ,BMS,smoke_alarm, , , ,heartbeat, , ,0.6, , , , ,True, ,Smoke Detector 20,37.386051, ,-122.083855, , , , , ,-67, , , , , , , , , , , 
1642692430.918763,0a-cf-57-c7-83-54, , , , ,"Phoenix Park, Church St, Dunstable, LU5 4HU, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 9, , , ,True, ,Device 262,51.888033, ,-0.513375,fan, , , ,False, ,Dunstable, , , , , , , , ,closed, 
1642692430.918763,0a-f1-54-98-13-2a, , ,63.0,75.0,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , , , , ,True, ,affordable_homes,hot_water, , , , , , , ,Home 154, , , ,True, ,Device 600,51.600697, ,-1.660247, , , , , , ,Shrivenham, , , , , , ,70.0, , , 
1642692430.918763,0b-71-6f-4e-b1-2a, , , , ,"Cross Trees Park, Highworth Rd, Shrivenham, Oxfordshire, SN6 8BL, UK", , , ,1, , , , ,affordable_homes,HVAC, , , , , , , ,Home 137, , , ,True, ,Device 565,51.600697, ,-1.660247,fan, , , ,False, ,Shrivenham, , , , , , , , ,closed, 
